t,hand,index_raw_cm,index_used_cm,middle_raw_cm,mode,down,dragging,x,y
0.000,1,16.09,17.23,26.27,move,0,0,1460,809
0.047,1,16.33,16.33,24.54,move,0,0,1464,803
0.078,1,17.92,16.33,24.54,move,0,0,1465,800
0.111,1,16.71,16.71,25.16,move,0,0,1467,798
0.142,1,17.46,17.46,25.72,move,0,0,1469,796
0.174,1,17.81,17.46,25.72,move,0,0,1470,792
0.207,1,15.14,17.46,25.72,move,0,0,1473,785
0.240,1,16.09,16.09,23.58,move,0,0,1473,778
0.271,1,13.38,15.14,22.49,move,0,0,1474,766
0.303,1,12.83,13.38,19.53,move,0,0,1474,750
0.336,1,13.20,13.20,19.50,move,0,0,1474,736
0.369,1,13.33,13.20,19.50,move,0,0,1473,717
0.398,1,12.77,13.20,19.50,move,0,0,1472,697
0.447,1,10.64,12.77,19.09,move,0,0,1470,672
0.481,1,12.36,12.36,17.91,move,0,0,1469,648
0.511,1,12.59,12.36,17.91,move,0,0,1461,616
0.544,1,12.62,12.59,18.00,move,0,0,1454,587
0.607,1,12.43,12.59,18.00,move,0,0,1439,528
0.639,1,13.57,12.62,18.14,move,0,0,1430,502
0.671,1,13.38,13.38,18.15,move,0,0,1418,477
0.704,1,13.18,13.38,18.15,move,0,0,1409,450
0.736,1,13.21,13.21,17.85,move,0,0,1404,431
0.799,1,13.09,13.18,17.66,move,0,0,1389,388
0.847,1,13.33,13.21,17.85,move,0,0,1384,369
0.879,1,12.58,13.09,17.66,move,0,0,1379,354
0.910,1,12.85,12.85,17.22,move,0,0,1376,341
0.943,1,12.27,12.58,16.89,move,0,0,1371,328
0.984,1,12.45,12.45,16.72,move,0,0,1368,318
1.009,1,12.47,12.45,16.70,move,0,0,1366,310
1.040,1,12.36,12.45,16.70,move,0,0,1362,301
1.071,1,12.40,12.40,16.54,move,0,0,1356,294
1.134,1,12.28,12.36,16.53,move,0,0,1340,270
1.167,1,12.12,12.28,16.44,move,0,0,1330,254
1.199,1,12.20,12.20,16.32,move,0,0,1321,236
1.246,1,11.95,12.12,16.23,move,0,0,1309,220
1.278,1,11.85,11.95,16.04,move,0,0,1302,205
1.312,1,12.00,11.95,16.04,move,0,0,1296,192
1.345,1,11.98,11.98,16.02,move,0,0,1290,184
1.377,1,11.85,11.98,16.02,move,0,0,1287,177
1.408,1,11.73,11.85,15.92,move,0,0,1284,173
1.439,1,11.59,11.73,15.75,move,0,0,1284,172
1.471,1,11.65,11.65,15.63,move,0,0,1285,171
1.504,1,11.76,11.65,15.63,move,0,0,1285,172
1.536,1,11.75,11.75,15.69,move,0,0,1287,173
1.569,1,11.69,11.75,15.70,move,0,0,1289,175
1.598,1,11.69,11.69,15.69,move,0,0,1292,176
1.647,1,11.73,11.69,15.68,move,0,0,1294,177
1.678,1,11.58,11.69,15.65,move,0,0,1294,177
1.710,1,11.73,11.73,15.65,move,0,0,1295,176
1.741,1,11.64,11.64,15.61,move,0,0,1296,177
1.773,1,11.66,11.66,15.63,move,0,0,1295,176
1.807,1,11.59,11.64,15.61,move,0,0,1296,176
1.838,1,11.65,11.65,15.63,move,0,0,1297,176
1.870,1,11.59,11.59,15.57,move,0,0,1297,176
1.903,1,11.66,11.65,15.66,move,0,0,1297,176
1.934,1,11.65,11.65,15.67,move,0,0,1298,176
1.967,1,11.65,11.65,15.67,move,0,0,1298,176
1.998,1,11.61,11.65,15.66,move,0,0,1297,176
2.047,1,11.54,11.61,15.58,move,0,0,1296,177
2.078,1,11.39,11.54,15.52,move,0,0,1296,177
2.110,1,11.57,11.54,15.52,move,0,0,1295,177
2.143,1,11.44,11.44,15.38,move,0,0,1294,177
2.174,1,11.41,11.44,15.40,move,0,0,1294,177
2.206,1,11.29,11.41,15.36,move,0,0,1293,177
2.239,1,11.29,11.29,15.28,move,0,0,1293,177
2.271,1,11.29,11.29,15.28,move,0,0,1293,176
2.302,1,11.25,11.29,15.28,move,0,0,1292,176
2.335,1,11.26,11.26,15.25,move,0,0,1292,176
2.368,1,11.29,11.26,15.25,move,0,0,1292,176
2.399,1,11.22,11.26,15.29,move,0,0,1292,176
2.448,1,11.10,11.22,15.29,move,0,0,1293,176
2.477,1,11.21,11.21,15.27,move,0,0,1295,176
2.510,1,11.42,11.21,15.27,move,0,0,1296,176
2.543,1,11.19,11.21,15.27,move,0,0,1296,175
2.574,1,11.20,11.20,15.26,move,0,0,1296,175
2.606,1,11.21,11.20,15.23,move,0,0,1295,174
2.640,1,11.24,11.21,15.23,move,0,0,1295,174
2.670,1,11.15,11.21,15.21,move,0,0,1295,174
2.703,1,11.19,11.19,15.17,move,0,0,1296,174
2.735,1,11.21,11.19,15.17,move,0,0,1298,176
2.767,1,11.24,11.21,15.25,move,0,0,1301,179
2.799,1,11.33,11.24,15.25,move,0,0,1305,183
2.847,1,11.38,11.33,15.34,move,0,0,1310,188
2.878,1,11.25,11.33,15.34,move,0,0,1313,192
2.910,1,11.28,11.28,15.29,move,0,0,1318,198
2.942,1,11.41,11.28,15.29,move,0,0,1324,203
2.977,1,11.16,11.28,15.29,move,0,0,1329,208
3.007,1,11.55,11.41,15.48,move,0,0,1336,212
3.038,1,11.48,11.48,15.66,move,0,0,1341,217
3.071,1,11.48,11.48,15.66,move,0,0,1345,220
3.102,1,11.54,11.48,15.66,move,0,0,1350,223
3.135,1,11.64,11.54,15.77,move,0,0,1353,225
3.167,1,11.59,11.59,15.95,move,0,0,1354,226
3.198,1,11.56,11.59,15.95,move,0,0,1355,227
3.247,1,11.58,11.58,15.96,move,0,0,1355,227
3.279,1,11.75,11.58,15.96,move,0,0,1355,226
3.310,1,11.67,11.67,16.03,move,0,0,1354,226
3.343,1,11.55,11.67,16.03,move,0,0,1353,225
3.375,1,11.55,11.55,15.86,move,0,0,1352,225
3.407,1,11.52,11.55,15.85,move,0,0,1352,224
3.438,1,11.41,11.52,15.80,move,0,0,1351,224
3.471,1,11.37,11.41,15.65,move,0,0,1347,225
3.503,1,11.24,11.37,15.36,move,0,0,1335,231
3.537,1,10.96,11.24,15.19,move,0,0,1313,242
3.567,1,11.04,11.04,14.94,move,0,0,1289,255
3.599,1,10.96,10.96,14.94,move,0,0,1253,274
3.647,1,10.79,10.96,14.91,move,0,0,1222,290
3.679,1,11.35,10.96,14.98,move,0,0,1193,309
3.713,1,11.11,11.11,14.83,move,0,0,1164,324
3.743,1,11.15,11.15,14.92,move,0,0,1162,318
3.776,1,11.05,11.11,14.83,move,0,0,1162,318
3.839,1,10.79,11.05,14.82,move,0,0,1082,361
3.870,1,10.32,10.79,14.49,move,0,0,1082,361
3.903,1,10.07,10.32,14.01,move,0,0,1082,361
3.935,1,9.97,10.07,13.73,move,0,0,1082,361
3.967,1,9.95,9.97,13.58,move,0,0,1082,361
3.998,1,10.00,9.97,13.58,move,0,0,1082,361
4.050,1,9.84,9.95,13.55,move,0,0,1032,361
4.080,1,10.26,10.00,13.60,move,0,0,1032,361
4.110,1,9.94,9.94,13.43,move,0,0,1032,361
4.142,1,10.01,10.01,13.57,move,0,0,1032,361
4.174,1,9.80,9.94,13.35,move,0,0,1032,361
4.208,1,9.21,9.80,13.35,move,0,0,1032,361
4.239,1,9.04,9.21,12.65,move,0,0,1032,361
4.272,1,9.36,9.21,12.65,move,0,0,1032,361
4.303,1,9.63,9.36,12.86,move,0,0,1032,361
4.336,1,9.36,9.36,12.87,move,0,0,1032,361
4.367,1,9.93,9.63,13.18,move,0,0,1032,361
4.398,1,9.77,9.77,13.11,move,0,0,1032,361
4.447,1,9.94,9.93,13.11,move,0,0,1032,361
4.479,1,9.82,9.82,12.92,move,0,0,1032,361
4.511,1,9.34,9.82,12.48,move,0,0,1032,361
4.543,1,8.77,9.34,11.91,move,0,0,1032,361
4.575,1,8.43,8.77,11.36,move,0,0,1032,361
4.607,1,8.56,8.56,11.15,move,0,0,992,318
4.638,1,8.67,8.56,11.14,move,0,0,991,318
4.670,1,8.45,8.56,10.85,move,0,0,990,318
4.702,1,8.70,8.67,10.84,move,0,0,990,318
4.735,1,8.60,8.60,10.84,move,0,0,990,318
4.767,1,8.53,8.60,10.84,move,0,0,990,318
4.799,1,8.51,8.53,10.79,move,0,0,991,318
4.849,1,8.53,8.53,10.77,move,0,0,991,318
4.879,1,8.49,8.51,10.77,move,0,0,991,318
